cluster_id,sample_tags,rating,failure_reason
3,Custom Code Integration | Plugin Access | Plugin Integration | Slack Integration,Good,
12,Case Study Personalization | Dynamic Personalization | Email Content Personalization | Learning Personalization | Response Personalization | Track Personalization,Mixed,"Most tags involve content personalization, but learning and track personalization represent distinct functional scenarios."
13,Readability Improvement | Alt Text Optimization | Natural Language Enhancement | Text Flow Improvement | Text Snippets | Text Utilities,Mixed,"Most tags concern text enhancement, but text snippets and general text utilities represent distinct capabilities."
15,PDF Export | Code Export | Content Export | Data Export | PPTX Export | SCORM Export | Spreadsheet Export | 3D Animation Export | 3D Model Export | AI Prompt Export | Asset Export | CMS Export | CSV Export | Document Export | Document Import and Export | DOCX Export | EXR Export | Flipbook Export | GIF Export | Google Docs Export | HTML/CSS/JS Export | Notion Export | PPT Export | Print-Ready Export | Run History Export | Table Export | Watermark-Free Export | Workflow Export | xAPI Export,Good,
16,Content Generation | Article Generation | Content Brief Generation | FAQ Generation | Bulk Content Generation | Container Generation | Content Idea Generation | Essay Generation | Long-Form Article Generation | Meeting Brief Generation | Personalized Itinerary Generation | Scheduled Content Generation | SEO Content Generation | Social Media Content Generation | Table of Contents Generation | Teaching Material Generation | Wikipedia-Style Article Generation | World Generation,Good,
22,Database Management | Custom Database Lookup | Database Connection | Database Creation | Database Generation | Database Querying | Database Setup | SQL Query Generation,Good,
23,Image Editing | Image Extension | Photo Editing | Portrait Editing | Body Pose Editing | Image Composition Control | Image Inpainting | Image Organization | Image Remixing | Image Rendering | Image Replacement | Image-to-Image Editing | Local Image Editing | Manual Photo Editing | Mask Editing | Product Image Editing | Texture Control,Good,
35,Cloud Deployment | Instant Deployment | On-Premise Deployment | Self-Hosted Deployment | Self-Hosted Operation | SSL Deployment,Good,
40,Payment Processing | Stripe Payment Integration | Bill Capture | Bill Negotiation | Bill Payment | Billing Management | Client Billing | Credit-Based Processing | In-App Payments | Invoice Management | Payment Integration | Stripe Billing,Good,
44,Text Rewriting | Text Paraphrasing | Content Rewriting | AI Text Rewriting | Text Rephrasing | BLUF Rewrites | Character Insertion | Clause Revision | Expression Editing | Sentence Rewriting | Text Replacement,Good,
47,Template Customization | Template-Based Creation | Template-Based Design | Template-Based Development | Business Model Templates | Designer Template Creation | Legal Template Generation | Template Cloning | Template Selection | Template-Based Generation | Writing Templates,Good,
49,Meeting Summarization | Text Summarization | Content Summarization | AI Summarization | Call Summarization | Document Summarization | PDF Summarization | AI Business Summarization | Data Summarization | Email Summarization | Information Summarization,Good,
51,Competitor Analysis | Competitor Comparison | Competitor Monitoring | Competitive Intelligence | Competitor Benchmarking | Competitor Content Monitoring | Competitor Creative Analysis | Competitor Insights | Competitor Intelligence | Competitor Sales Tracking | Competitor Visibility Benchmarking,Good,
52,Code Review | Content Review | Expert Content Review | Quality Reviews | Review Analysis,Bad,"The tags mix code review, content evaluation, general quality review, and review analysis rather than representing one coherent capability."
57,Anomaly Detection | Exception Detection | Anti-Fraud Detection | Automatic Fallbacks | Correction Detection | Error Detection | Error Diagnosis | Fraud Detection | Issue Resolution | Printability Checking | Trust Signal Analysis | Virtual Try-On,Mixed,"Most tags involve detecting or diagnosing anomalies, errors, or fraud, but fallbacks, issue resolution, printability checking, trust analysis, and virtual try-on serve distinct capabilities."
63,Text-to-Video | Text-to-Image | Image-to-Text Conversion | Video-to-Text Conversion,Mixed,The cluster splits between visual content generation from text and text extraction or generation from visual content.
71,Website Hosting | App Hosting | Cloud Hosting | Hosting | Hosting Management | Model Hosting,Good,
79,Video Reframing | Video Customization | Video Resizing | Video Templates | Video Upscaling | Stock Footage Integration | Video Format Selection | Video Personalization | Video Preview | Video Rendering | Video Resolution Control | Video Watermarking,Good,
81,Talking Photo Creation | Photo Animation | Banner Generation | Ghost Mannequin Generation | Headshot Generation | Image Recreation | Packshot Creation | Photo Analysis | Photo Collage Creation | Photo Effects | Photo Generation | Photo Pack Generation | Photo Regeneration | Photo Transformation | Product Photo Generation | Talking Photos | Virtual Photography,Good,
83,Batch Editing | Batch Processing | Batch Design Generation | Batch Photo Processing | Bulk Image Processing | Bulk Processing | Bulk Prompt Processing | Bulk Row Processing,Mixed,"Only half of the tags concern batch visual-content processing, while the others describe generic, prompt, or tabular-data batch operations."
98,Text Translation | Translation | AI Translation | Content Translation | PDF Translation | Bilingual Translation | Course Translation | Document Translation | Guide Translation | Language Translation | Message Translation | Multilingual Reading | Multilingual Translation | Note Translation | OCR Translation | Parallel Translation | Question Translation | Resume Translation | Text Selection Translation | Translation to English | Voice Translation | Webpage Translation,Good,
101,E-commerce Functionality | E-commerce Integrations | E-commerce Management | E-commerce Setup,Good,
107,Campaign Optimization | Campaign Management | Campaign Planning | Campaign Reporting | Ad Campaign Management | Campaign Automation | Campaign Creation | Campaign Drafting | Campaign Generation | Campaign Iteration | Campaign Performance Monitoring | Campaign Variation Generation,Good,
110,Cross-Meeting Search | Meeting Search,Good,
111,Appointment Reminders | Calendar Integration | Calendar Sync | Calendar Synchronization | Content Calendar Generation | Visit Rescheduling,Good,
112,Real-Time Alerts | Real-Time Collaboration | Real-Time Insights | Real-Time Suggestions | Real-Time Voice Streaming | Real-Time Writing Suggestions,Bad,"The tags describe distinct capabilities such as alerts, collaboration, analytics, suggestions, and voice streaming, sharing only a real-time delivery mode."
114,Business Description Generation | Business Logic Generation | Business Name Generation | Business Plan Generation | Financial Roadmap Generation | Milestone Creation | PDF Plan Download,Mixed,"Most tags support business planning and plan creation, but business name and business logic generation are distinct capabilities."
116,Chart Selection | Visual Selection,Good,
119,Landing Page Generation | Landing Page Building | Landing Page Creation | Page Addition,Good,
125,Interview Brief Generation | Interview Coaching | Interview Outline Creation | Interview Practice | Interview Q&A Generation | Interview Question Generation | Mock Interview Practice | Mock Interviews | Quantitative Questioning,Good,
135,Voice Changing | AI Voice Calling | Call Transcription | Voice Input | Voice Messaging | AI Phone Calls | Call and Text Answering | Voice Calling | Voice Control | Voice Conversation | Voice Conversations | Voice Narration | Voice Prompting | Voice Typing,Good,
136,Formula Generation | Calculator Building | Formula Writing | Labor Rate Calculation | Spreadsheet Filling,Good,
140,Search Console Integration | Google Search Console Integration,Good,
142,AI Text Humanization | AI Content Writing | AI Writing | AI Blog Writing | AI Contract Drafting | AI Copilot | AI Script Writing | AI Storyboarding | AI Writing Suggestions | AI-Assisted Writing Refinement | In-Document AI Assistant,Good,
148,Advanced Filtering | Email Filtering | Filter Application | Mention Filtering | Source Filtering | Spam Call Filtering | Store Filtering,Mixed,"Most tags involve information filtering, but spam call filtering and store filtering serve substantially different functional scenarios."
150,Conversion Tracking | Accent Conversion | Audio Format Conversion | Conversion Analysis | Conversion API Integration | Document Conversion | Product Page Conversion | Voice Conversion | Voice-to-Voice Conversion,Bad,"The tags split across audio transformation, marketing conversion analytics, and document conversion, with no single capability covering at least half."
172,Agent Capabilities | Agent Evaluation | Agent Insights | Agent Management | Agent Monitoring | Agent Observability | Agent Performance Monitoring | Agents API | Terminal Agent Interaction,Mixed,"Agent evaluation, insights, monitoring, and observability form the main capability, while management, API access, capability description, and terminal interaction serve distinct functions."
174,Visual Generation | Mind Map Generation | Visual Content Generation | Feature Bullet Generation | Topical Map Generation | Visual Draft Generation | Visual Effects Generation | Visual Mockup Generation | Widget Generation,Mixed,"Most tags involve visual content generation, but feature bullet and widget generation serve distinct functional capabilities."
176,Ad Performance Analysis | Ad Format Curation | Ad Intelligence Analysis | Ad Monetization | Ad Performance Optimization | Ad Performance Pre-testing | Ad Template Browsing | Ad Tracking | Advertising Analysis | Competitor Ad Analysis,Mixed,"Most tags concern ad performance analysis and optimization, while ad format curation, monetization, and template browsing are distinct advertising capabilities."
181,Multi-Channel Messaging | Branch Management | Channel Management | Multi-Channel Deployment | Multi-Channel Publishing | Multichannel Deployment,Mixed,"Four tags concern multi-channel distribution or deployment, while branch and channel management are distinct administrative capabilities."
183,Natural Language Task Management | Task Breakdown | Task Extraction | Task Instruction Generation | Task Management | Task Management Integration | Task Research | Task Routing,Good,
185,Course Outline Generation | Guided Step Planning | Interactive Guide Creation | Step-by-Step Guide Generation | Visual Guide Generation,Good,
186,Markup Customization,Good,
189,LLM Access | LLM Function Calling | LLM Indexing | llms.txt Analysis | LLMs.txt Generation,Mixed,"LLM access, function calling, and indexing concern LLM integration, while llms.txt analysis and generation concern a separate web metadata capability."
193,Slide Creation | Slide Deck Generation | Slide Generation | Document and Slide Generation | Slide Content Generation | Slide Text Generation,Good,
194,Video Summarization | Video Performance Tracking | Deepfake Video Detection | Outlier Video Discovery | Reference Video Analysis | Video Annotations | Video Content Analysis | Video Search | YouTube Embedding,Mixed,"Most tags concern video analysis, but video search and YouTube embedding serve distinct retrieval and publishing capabilities."
214,Anime Style Customization | Character Customization | Length Customization | Photo Style Customization | Style Adjustment | Style Application | Style Customization | Style Description | Style Guide Alignment | Style Selection | Timeline Customization,Mixed,"Most tags concern style configuration, but character, length, and timeline customization represent distinct capabilities."
216,Budget Alerts | Budget Management | Budget Optimization | Budget Tracking | Spend Limits,Good,
229,Mention Opportunity Discovery | Opportunity Identification | Opportunity Monitoring | Outreach Opportunity Discovery,Mixed,"Three tags concern opportunity discovery or identification, while opportunity monitoring is a distinct tracking capability."
