cluster_id,sample_tags,rating,failure_reason
1,Outline Generation | Visual Generation | AI Visual Generation | Mind Map Generation | Visual Content Generation | Figure Generation | Graphic Generation | Infographic Generation | Interactive UI Rendering | Motion Visual Generation | Multimodal Content Generation | Multimodal Creation | Multimodal Generation | Screen Generation | Topical Map Generation | Visual Draft Generation | Visual Effects Generation | Visual Guide Generation | Visual Mockup Generation | Visual Selection,Good,
6,Content Recommendations | Content Review | Data-Cited Recommendations | Editorial Guidance | Editorial Review | Expert Content Review | Marketing Recommendations | Merge Recommendations | Next-Best-Action Recommendations | Preset Recommendations | Product Recommendations | Quality Reviews | Review Analysis,Mixed,"The cluster mixes recommendation generation with content, editorial, quality, and review-analysis capabilities."
7,Campaign Optimization | Campaign Management | Campaign Planning | Campaign Publishing | Campaign Reporting | Email Campaigns | Ad Campaign Management | Auto-DM Campaigns | Campaign Automation | Campaign Creation | Campaign Drafting | Campaign Generation | Campaign Iteration | Campaign Performance Monitoring | Campaign Variation Generation | Email Campaign Creation | Email Campaign Management | Email Campaign Sending | Popup Campaigns,Good,
8,3D Mockup Generation | App Generation | Full-Stack App Generation | Design Prototyping | Product Mockup Generation | Prototype Generation | Web Application Generation,Mixed,The cluster mixes mockup and prototype creation with full application and web application generation.
22,Text Rewriting | Grammar Correction | Text Paraphrasing | Filler Word Removal | Character Consistency | Text Rephrasing | Automatic Punctuation | BLUF Rewrites | Character Insertion | Clause Revision | Essay Refinement | Language Refinement | Legal Text Simplification | Mistake Correction | Punctuation Correction | Sentence Expansion | Sentence Rewriting | Sentence Simplification | Spelling Correction | Text Replacement | Text Simplification | Typography Refinement,Good,
23,Content Generation | Content Creation | Content Optimization | Content Brief Generation | Content Explanation | Content Ideation | Content Calendar Generation | Content Curation | Content Distribution | Content Drafting | Content Idea Generation | Content Planning | Content Posting | Content Remixing | Content Restructuring | Content Strategy Creation | Content Suggestions | Content Tools | Content Training | Interactive Content Creation | Post Recreation | SEO Content Generation | Social Media Content Generation,Good,
26,Highlight Detection | AI Color Grading | Black-and-White Colorization | Color Adjustment | Color Correction | Color Customization | Color Editing | Color Enhancement | Color Grading | Color Palette Generation | Color Palette Selection | Color Scheme Selection,Good,
28,Multi-Model Generation | Business Model Templates | Human Model Integration | Model Attribution | Model Evaluation | Model Fine-Tuning | Model Hosting | Model Integration | Model Management | Model Switching | Model Training | Multi-Model Access | Multi-Model Reasoning | Multi-Provider Model Support | Multimodal Model Access,Good,
35,Agent Memory Management | Agent Monitoring | Agent Performance Monitoring | Parallel Agent Execution | Parallel Agent Sessions | Parallel Agent Workflows,Mixed,"Only half the tags concern parallel agent execution, while the others address agent monitoring or memory management."
39,Brightness Adjustment | Contrast Adjustment | Aging Effects | Atmosphere Effects | Auto Effects | Image Relighting | Lighting Adjustment | Lighting Control | One-Click Enhancements | Photo Effects | Saturation Adjustment | Sky Reflection Addition | Sky Replacement,Good,
40,Confidence Scoring | AEO Scoring | Call Scoring | Candidate Scoring | Content Scoring | Creator Scoring | GEO Scoring | Idea Scoring | Match Confidence Scoring | Passport Score Calculation | Quality Scoring | Quiz Scoring,Bad,"The tags apply scoring to substantially different objects and scenarios, with no single defensible scoring capability covering at least half."
50,Conversation Analytics | Conversation Monitoring | AI Customer Conversations | Contextual Conversation Memory | Conversation Assignment | Conversation Guardrails | Conversation History | Conversation Import | Conversation Insights | Conversation Practice | Conversation Routing | Conversation Search | Conversation Sharing | Conversation Testing | Conversation Translation | Conversational AI | Conversational AI Assistance | Conversational Answering | Conversational Practice | Conversational Responses | Conversational Survey Creation | Dialogue Extraction | Reddit Conversation Discovery | Roleplay Conversations | Social Listening,Bad,"The tags span distinct capabilities including conversational interaction, conversation management, analytics, monitoring, translation, discovery, and training, with no single capability covering half the cluster."
55,AI Video Generation | Video Generation | Text-to-Video Generation | Image-to-Video Generation | Video Idea Generation | Short Video Generation | AI Short Video Generation | Animated Video Generation | Idea-to-Video Generation | Image and Video Generation | Link-to-Video Generation | Lyric Video Creation | Marketing Video Generation | Multi-Format Video Generation | Multimedia Generation | Music Video Generation | News-to-Video Generation | Offer-to-Video Generation | Product Video Generation | Reference-to-Video Generation | SMS-to-Video Generation | Template-Based Video Generation | URL-to-Video Generation | Video Style Generation,Good,
56,Automated Optimization | Budget Management | Budget Optimization | Budget Tracking | Costbook Referencing | Estimate Generation | Fix Prioritization | Memory Management | Optimization Controls | Spend Limits,Mixed,"Most tags concern budgeting and cost control, but optimization, fix prioritization, and memory management represent distinct capabilities."
57,Advanced Filtering | Email Filtering | Filter Application | Mention Filtering | Search Term Filtering | Source Filtering | Spam Call Filtering | Store Filtering,Mixed,"Most tags involve search or content filtering, but email filtering and spam call filtering serve distinct communication-screening capabilities."
59,Keyword Research | Keyword Analysis | Custom Vocabulary | Keyword Clustering | Keyboard Shortcuts | Keyword Cannibalization Detection | Keyword Discovery | Keyword Generation | Keyword List Management | Keyword Optimization | Keyword Tracking | Keyword Visualization | Phrase Highlighting | Vocabulary Tracking,Mixed,"Most tags concern keyword research and management, but custom vocabulary, keyboard shortcuts, phrase highlighting, and vocabulary tracking serve distinct capabilities."
62,PDF Export | Code Export | Content Export | Content Import | Data Export | SCORM Export | Spreadsheet Export | AI Prompt Export | Chart Export | CMS Export | CSV Export | Document Export | Document Import and Export | DOCX Export | EXR Export | Flipbook Export | Google Docs Export | HTML/CSS/JS Export | Notion Export | Print-Ready Export | Quiz Export | Run History Export | Table Export | Translation Data Export | Workflow Export | xAPI Export,Good,
70,AI Music Generation | Music Generation | AI Background Music | AI Soundtrack Generation | Background Soundscape Generation | Focus Music Generation | Genre Blending | Lyric Development | Lyrics Generation | MIDI Generation | Music Addition | Music Composition | Music Customization | Music Distribution | Music Editing | Music Library | Music Library Access | Music Style Control | Text-to-Instrumental Generation | Text-to-Music Generation | Text-to-Song Generation,Good,
71,Meeting Recording | Cross-Meeting Search | Meeting Capture | Meeting Search | Participant Recruitment,Bad,"Meeting recording, meeting search, and participant recruitment are distinct capabilities, with no single capability covering at least half the tags."
86,Data Integration | Bulk Data Updates | Bulk Row Processing | CI/CD Pipeline | Data and Tool Integration | Data Cleaning | Data Deduplication | Data Delivery | Data Fusion | Data Isolation | Data Source Integration | Data Structuring | Data Transformation | Data Validation | Financial Data Integration | Structured Data Analysis | Structured Data Control | Vector Database Integration,Good,
