cluster_id,sample_tags,rating,failure_reason
1,Outline Generation | Visual Generation | AI Visual Generation | Mind Map Generation | Visual Content Generation | Figure Generation | Graphic Generation | Infographic Generation | Interactive UI Rendering | Motion Visual Generation | Multimodal Content Generation | Multimodal Creation | Multimodal Generation | Screen Generation | Topical Map Generation | Visual Draft Generation | Visual Effects Generation | Visual Guide Generation | Visual Mockup Generation | Visual Selection,Mixed,"Several tags concern multimodal or structured-information generation, UI rendering, or visual selection rather than visual content generation."
6,Content Recommendations | Content Review | Data-Cited Recommendations | Editorial Guidance | Editorial Review | Expert Content Review | Marketing Recommendations | Merge Recommendations | Next-Best-Action Recommendations | Preset Recommendations | Product Recommendations | Quality Reviews | Review Analysis,Mixed,"The cluster mixes recommendation generation with content, editorial, quality, and review-analysis capabilities."
7,Campaign Optimization | Campaign Management | Campaign Planning | Campaign Publishing | Campaign Reporting | Email Campaigns | Ad Campaign Management | Auto-DM Campaigns | Campaign Automation | Campaign Creation | Campaign Drafting | Campaign Generation | Campaign Iteration | Campaign Performance Monitoring | Campaign Variation Generation | Email Campaign Creation | Email Campaign Management | Email Campaign Sending | Popup Campaigns,Bad,"The tags span distinct campaign functions such as creation, management, publishing, automation, optimization, and reporting rather than one dominant capability."
8,3D Mockup Generation | App Generation | Full-Stack App Generation | Design Prototyping | Product Mockup Generation | Prototype Generation | Web Application Generation,Mixed,The cluster mixes mockup and prototype creation with functional application generation.
22,Text Rewriting | Grammar Correction | Text Paraphrasing | Filler Word Removal | Character Consistency | Text Rephrasing | Automatic Punctuation | BLUF Rewrites | Character Insertion | Clause Revision | Essay Refinement | Language Refinement | Legal Text Simplification | Mistake Correction | Punctuation Correction | Sentence Expansion | Sentence Rewriting | Sentence Simplification | Spelling Correction | Text Replacement | Text Simplification | Typography Refinement,Good,
23,Content Generation | Content Creation | Content Optimization | Content Brief Generation | Content Explanation | Content Ideation | Content Calendar Generation | Content Curation | Content Distribution | Content Drafting | Content Idea Generation | Content Planning | Content Posting | Content Remixing | Content Restructuring | Content Strategy Creation | Content Suggestions | Content Tools | Content Training | Interactive Content Creation | Post Recreation | SEO Content Generation | Social Media Content Generation,Mixed,"Most tags concern content creation or generation, but several instead describe optimization, curation, distribution, posting, planning, tools, or training."
26,Highlight Detection | AI Color Grading | Black-and-White Colorization | Color Adjustment | Color Correction | Color Customization | Color Editing | Color Enhancement | Color Grading | Color Palette Generation | Color Palette Selection | Color Scheme Selection,Mixed,"Most tags involve editing or enhancing colors, while highlight detection and color palette generation or selection represent different capabilities."
28,Multi-Model Generation | Business Model Templates | Human Model Integration | Model Attribution | Model Evaluation | Model Fine-Tuning | Model Hosting | Model Integration | Model Management | Model Switching | Model Training | Multi-Model Access | Multi-Model Reasoning | Multi-Provider Model Support | Multimodal Model Access,Bad,"The tags span model access, training, evaluation, hosting, attribution, integration, and unrelated business template functions rather than one dominant capability."
35,Agent Memory Management | Agent Monitoring | Agent Performance Monitoring | Parallel Agent Execution | Parallel Agent Sessions | Parallel Agent Workflows,Mixed,"Only half the tags concern parallel agent operation, while the others cover agent monitoring and memory management."
39,Brightness Adjustment | Contrast Adjustment | Aging Effects | Atmosphere Effects | Auto Effects | Image Relighting | Lighting Adjustment | Lighting Control | One-Click Enhancements | Photo Effects | Saturation Adjustment | Sky Reflection Addition | Sky Replacement,Good,
40,Confidence Scoring | AEO Scoring | Call Scoring | Candidate Scoring | Content Scoring | Creator Scoring | GEO Scoring | Idea Scoring | Match Confidence Scoring | Passport Score Calculation | Quality Scoring | Quiz Scoring,Good,
50,Conversation Analytics | Conversation Monitoring | AI Customer Conversations | Contextual Conversation Memory | Conversation Assignment | Conversation Guardrails | Conversation History | Conversation Import | Conversation Insights | Conversation Practice | Conversation Routing | Conversation Search | Conversation Sharing | Conversation Testing | Conversation Translation | Conversational AI | Conversational AI Assistance | Conversational Answering | Conversational Practice | Conversational Responses | Conversational Survey Creation | Dialogue Extraction | Reddit Conversation Discovery | Roleplay Conversations | Social Listening,Bad,"The tags span unrelated capabilities such as conversation analysis, routing, memory, translation, generation, practice, and social listening."
55,AI Video Generation | Video Generation | Text-to-Video Generation | Image-to-Video Generation | Video Idea Generation | Short Video Generation | AI Short Video Generation | Animated Video Generation | Idea-to-Video Generation | Image and Video Generation | Link-to-Video Generation | Lyric Video Creation | Marketing Video Generation | Multi-Format Video Generation | Multimedia Generation | Music Video Generation | News-to-Video Generation | Offer-to-Video Generation | Product Video Generation | Reference-to-Video Generation | SMS-to-Video Generation | Template-Based Video Generation | URL-to-Video Generation | Video Style Generation,Good,
56,Automated Optimization | Budget Management | Budget Optimization | Budget Tracking | Costbook Referencing | Estimate Generation | Fix Prioritization | Memory Management | Optimization Controls | Spend Limits,Good,
57,Advanced Filtering | Email Filtering | Filter Application | Mention Filtering | Search Term Filtering | Source Filtering | Spam Call Filtering | Store Filtering,Good,
