cluster_id,sample_tags,rating,failure_reason
3,Evidence Traceability | Request Detail Capture | Request Tracing | Run Tracing,Mixed,"Most tags concern operational request or run tracing, while Evidence Traceability concerns provenance of supporting evidence."
12,Chrome Email Integration | Email Analytics,Mixed,Chrome email integration and email analytics represent distinct capabilities rather than the same underlying operation.
13,PDF Export | Content Export | Spreadsheet Export | Asset Export | CMS Export | CSV Export | Document Export | Document Import and Export | DOCX Export | Flipbook Export | Google Docs Export | HTML/CSS/JS Export | Print-Ready Export | Run History Export | Table Export | Watermark-Free Export,Good,
15,SEO Optimization | Content Optimization | Title Optimization | AI Content Optimization | AI-Readable Content Optimization | Alt Text Optimization | Automated Optimization | Fix Prioritization | Optimization Controls | SEO Content Optimization | Tag Optimization | Title Tag Optimization,Good,
16,Brand Insights | Business Insights | Company Insights | Historical Insights,Good,
22,Social Media Publishing | App Publishing | Automatic Publishing | Content Publishing | Multi-Platform Publishing | WordPress Publishing | API Publishing | App Store Publishing | Automated Publishing | Bulk Publishing | CMS Publishing | Cross-Platform Publishing | Direct Social Publishing | Domain Publishing | Form Publishing | Multi-Channel Publishing | One-Click Publishing | Post Publishing | Website Publishing,Mixed,"Most tags concern content publishing, but app, API, app-store, domain, and form publishing represent distinct capabilities."
23,Video Remixing | Content Remixing | Image Remixing,Good,
35,Caption Generation | Caption Addition | AI Captioning | Automated Captioning | Automatic Caption Generation | Automatic Captioning | CAPTCHA Solving | Caption Editing | Caption Recommendations | Caption Styling | Platform Caption Generation | Social Caption Generation | Video Captioning,Mixed,"Most tags concern caption generation or captioning, but CAPTCHA solving, caption editing, caption recommendations, and caption styling are distinct capabilities."
36,API Integration | API Access | REST API | AI Model API Access | API Connection | API Data Collection | API Key Management | API Model Access | Custom API Key Integration | Production API Access | Real-Time API Access | Unified API Access,Good,
40,Auto-Prompting | Motion Prompting | Negative Prompting | Remarketing Activation | Voice Prompting,Good,
44,Model Routing | Call Routing | Adaptive Model Routing | Intelligent Model Routing | Intelligent Request Routing | Multi-Model AI Routing,Good,
47,Phone Support | Progress Support | Social Media Support | Stakeholder Profiling | Support Analytics | Support CRM | Support Ticketing,Mixed,"Most tags concern customer support operations, but Progress Support and Stakeholder Profiling represent distinct capabilities."
49,Landing Page Generation | Website Generation | Custom URL Creation | Custom Website Generation | Elementor Page Generation | Landing Page Building | Landing Page Creation | Product Page Generation | Web Application Generation,Good,
51,Code Export | Data Export | PPTX Export | SCORM Export | AI Prompt Export | EXR Export | Notion Export | PPT Export | Quiz Export | Translation Data Export | Workflow Export | xAPI Export,Good,
52,Text-to-Speech | Speech-to-Text Transcription | Speech-to-Text | Text to Speech | Text-to-Dialogue | Text-to-Speech Generation | Text-to-Speech Narration | Text-to-Voice | Voice-Matched Writing | Voice-to-Text Responses,Mixed,"Only half the tags describe text-to-speech, while the rest cover speech-to-text, dialogue generation, or voice-matched writing."
57,Audio Export | Meeting Recording | Audio Recording | Call Recording | Meeting Recording and Transcription | Podcast Creation | Podcast Video Creation | WAV Download,Mixed,"Only half the tags describe recording, while the others concern audio export or podcast creation."
63,Meaning Preservation | Aging Effects | Contract Management | Retention Analysis | Retention Management,Bad,"Only retention analysis and retention management share a clear capability, while the other tags describe unrelated functions."
71,Audit Logging | Workflow Logging | Workflow Monitoring,Mixed,"Audit and workflow logging record events, while workflow monitoring tracks workflow status or performance."
79,Video Ad Generation | Ad Creative Generation | Ad Performance Analysis | Ad Concept Generation | Ad Creative Production | Ad Generation | Ad Intelligence Analysis | Ad Performance Optimization | Ad Performance Pre-testing | Ad Template Browsing | Ad Tracking | Ad Variation Creation | Advertising Analysis | AI Ad Creation | Batch Ad Generation | Job Advertising Management | Static Ad Generation,Mixed,"Most tags concern ad creation, but many instead cover ad analysis, optimization, tracking, browsing, or management."
81,Background Removal | Background Customization | Background Replacement | Transparent Background Creation | Background Changer | Background Color Change | Background Editing | Background Extension | Background Generation | Background Localization | White Background Editing,Good,
83,Visual App Building | Visual Workflow Builder | Visual Workflow Building | Visual Workflow Chaining | Visual Workflow Design,Good,
87,Context Management | Context Integration | Context Matching | Context Memory | Context Preservation | Contextual Webpage Analysis | Persistent Context,Mixed,"Most tags concern managing or retaining context, while context matching and contextual webpage analysis represent distinct capabilities."
98,Booking Management | Accommodation Recommendations | Appointment Booking | Calendar Booking | Itinerary Management | Visit Booking | Visit Rescheduling,Mixed,Accommodation recommendations and itinerary management are distinct from the core capability of booking and rescheduling appointments or visits.
101,Object Removal | Noise Reduction | Silence Removal | Artifact Removal | Background Noise Removal | Bad Take Removal | Echo Removal | Noise Cancellation | Noise Removal | Reverb Reduction | Room Echo Reduction,Mixed,"Most tags concern audio noise or echo reduction, while object, silence, and bad-take removal represent distinct editing capabilities."
107,Geolocation | Location Customization,Mixed,"Geolocation determines a location, while location customization modifies location-based settings or experiences."
110,Form Generation | Calculator Building | Contact Form Creation | CTA and Form Creation | Form Building | Form Handling | Form Integration,Good,
111,Diagram Generation | AI Diagram Generation | Diagram Creation | Flowchart Creation,Good,
112,Information Extraction | Structured Data Extraction | Data Extraction | Text Extraction | Automated Data Extraction | Business Data Extraction | Data Parsing | Email Extraction | Geo-Based Extraction | HTML Extraction | Instrument Extraction | Key Point Extraction | Key Term Extraction | Scheduled Extraction | Web Data Extraction,Good,
114,Prompt Chaining | Prompt Enhancement | Prompt Refinement | Prompt-Based Editing | AI Prompt Generation | Custom Prompt Presets | Project Prompt Exploration | Prompt Generation | Prompt Library | Prompt Monitoring | Prompt Playground | Prompt Suggestions | Prompt-Based Creation | Reusable Prompts,Bad,"The tags span prompt generation, refinement, storage, testing, monitoring, chaining, and prompt-driven content operations rather than one dominant capability."
116,Lesson Plan Generation | Outline Generation | Course Generation | Course Outline Generation | Academic Style Suggestions | Curriculum Generation | Curriculum Mapping | Interactive Courses | Study Motivation,Mixed,"Most tags involve educational content planning or generation, but academic style suggestions and study motivation are distinct capabilities."
119,AI Traffic Measurement | AI Traffic Reporting | Traffic Analysis | Traffic Distribution | Traffic Source Analysis | Traffic Tracking,Good,
125,Voice Messaging | Active Listening | Real-Time Voice Streaming | Share of Voice Measurement | Share Of Voice Tracking | Social Listening | Voice Calling | Voice Conversation | Voice Conversations | Voice Narration | Voice Question Answering | Voice Rehearsal,Mixed,"Most tags concern voice communication, but several instead describe marketing analytics, social listening, narration, or rehearsal."
135,Avatar Conversations | Conversational Avatar Deployment | Talking Photos,Mixed,"Talking Photos animates still images, while the other tags concern deploying interactive conversational avatars."
136,Cross-Document Synthesis | Document Automation | Document Collection | Document Creation | Document Upload | Interactive Document Creation,Mixed,"The cluster mixes document creation and automation with document collection, upload, and cross-document synthesis."
140,Payment Processing | Stripe Payment Integration | Bank Account Connection | Bill Capture | Bill Negotiation | Bill Payment | Billing Management | Client Billing | Stripe Billing,Mixed,"Most tags concern billing and payment processing, but bank account connection, bill capture, and bill negotiation represent distinct capabilities."
142,Aesthetic QR Code Generation | Communication Generation | Container Generation | Deck Generation | File Generation | Print Generation | Reference-Based Generation,Bad,The tags describe unrelated generation capabilities and are grouped mainly by the generic term “Generation.”
148,Case Study Personalization | Chat History Personalization | Dynamic Personalization | Email Content Personalization | Feed Personalization | Learning Personalization | Personalized Feeds | Personalized Itinerary Generation | Response Personalization | Track Personalization,Good,
150,Lead Qualification | Lead Capture | Lead Enrichment | Lead Generation | Lead Intelligence | Lead Prospecting | Lead Routing | Lead/Backing Separation,Bad,"The tags cover distinct lead acquisition, analysis, routing, and audio-separation capabilities rather than one common function."
172,Website Hosting | App Hosting | Cloud Hosting | Hosting | Hosting Management,Good,
174,AI Fashion Models | Clothing Editing | Clothing Recognition | Ghost Mannequin Generation | Live T-Shirt Preview | Outfit Customization | Outfit Generation | Outfit Modification | Outfit Swapping,Good,
176,Access Control | Access Governance | CLI Access | Permission Management | Plugin Access | User Permission Management,Mixed,CLI Access and Plugin Access describe access methods or targets rather than access and permission management.
181,AI Model Integration | AI Assistant | AI Assistant Integration | AI Contract Drafting | AI Memory Import | AI Model Deployment | AI Product Import | AI Prompt Library | AI Response Automation | AI Tool Integration | In-Document AI Assistant | Learning Add-ons | No-Code AI Builder | Unified AI Model API,Bad,"The tags span AI integration, assistants, importing, deployment, drafting, prompt management, automation, and educational add-ons rather than one dominant capability."
183,Dialect Support | Pronunciation Control | Pronunciation Customization | Pronunciation Feedback | Pronunciation Guides,Mixed,The cluster mixes pronunciation customization and dialect handling with pronunciation assessment and instructional guidance.
185,Domain Scraping | Dynamic Content Scraping | No-Code Scraping | Prebuilt Scrapers | Review Scraping | Web Scraping | Website Content Crawling,Good,
186,Distributed Inference | Escalation Rules | Policy Generation | Policy Inference | Policy Pre-checks,Mixed,"Only the three policy-focused tags share a clear capability, while distributed inference and escalation rules describe distinct functions."
189,Automated Time Tracking | Break Timers | Duration Matching | PTE Question Guidance | Time Management Guidance | Timesheet Management | Timestamp Generation,Mixed,"Only four tags concern time tracking or management, while duration matching, PTE question guidance, and timestamp generation represent different functions."
193,Real-Time Collaboration | Chat-Based Editing | Real-Time Editing | Real-Time Insights | Real-Time Suggestions | Real-Time Text Editing | Real-Time Writing Suggestions,Bad,"The tags mix editing, collaboration, insights, and suggestion capabilities, with no single function represented by at least half of the cluster."
194,Flashcard Generation | AI Flashcard Generation | Document-to-Flashcard Conversion | Flashcard Editing | Flashcard Export | Flashcard Sharing,Mixed,"Only half the tags describe flashcard generation, while the others cover editing, exporting, and sharing."
214,Data Analysis | SERP Analysis | Data Categorization | Data Insights | Data Research | Domain Analysis | File Analysis | GA4 Data Analysis | Qualitative Analysis | Qualitative Data Analysis | Risk Analysis | Structured Data Analysis | Time Data Analysis | Timeframe-Based Investigation | UGC Analysis,Good,
216,Quiz Generation | FAQ Generation | Quiz Creation | Interview Brief Generation | Interview Outline Creation | Interview Q&A Generation | Interview Question Generation | Quantitative Questioning | Question Classification | Question Generation,Mixed,"Most tags involve question generation, but interview briefing, outlining, and question classification are distinct capabilities."
229,Multi-Model Chat | Bookkeeping Expert Chat | Chat Analysis | Chat Organization | Chat-Based Creation | Chat-Based Development | Document Chat | Human-Like Chat Generation | Large Language Model Chat | Live Chat | Live Chat Management,Mixed,"Most tags concern AI-driven conversational interaction, but chat analysis, organization, and live-chat management represent distinct capabilities."
232,Marketing Analytics | Marketing Reporting | Customer Behavior Analysis | Customer Ranking | Deliverability Analytics,Good,
235,Style Adjustment | Style Analysis | Style Application | Style Checking | Style Description | Style Guide Alignment | Style Presets | Style Selection | Style Transfer | Style Transformation | Visual Style Consistency | Warmup Rule Configuration,Mixed,"The tags mix style analysis, validation, selection, and transformation functions, while warmup rule configuration is unrelated."
258,Document Scanning | OCR | OCR Text Extraction | OCR Text Scanning | OCR Translation,Good,
273,Video Summarization | Video Customization | Video Templates | Product Link-to-Video | Prompt-to-Video | Reference Video Analysis | Slideshow-to-Video | Video Annotations | Video Content Analysis | Video Format Selection | Video Localization | Video Narration | Video Personalization | Video Style Recreation | Video Watermarking,Bad,"The tags span distinct capabilities including video generation, analysis, editing, localization, narration, personalization, and publishing enhancements."
274,B-Roll Insertion | Proxy Rotation,Bad,"B-roll insertion is a video editing function, while proxy rotation is a network identity and access function."
279,Keyword Clustering | SERP Clustering | Topic Clustering,Good,
282,A/B Testing | Test Generation | Test Case Generation | Test Code Generation | Test Scenario Generation | Unit Test Generation,Good,
287,Screen Recording | Screen and Camera Recording | Screen and Webcam Recording | Screenshot Annotation | Screenshot Capture | Screenshot-to-Mockup Conversion | Teleprompter,Mixed,"Most tags involve screen capture or recording, but screenshot annotation, mockup conversion, and teleprompter functionality are distinct capabilities."
295,Action Item Extraction | Action Item Identification | PII Redaction | Smart Actions,Mixed,"Action item extraction and identification align, while PII redaction and Smart Actions represent different capabilities."
