cluster_id,sample_tags,rating,failure_reason
3,Evidence Traceability | Request Detail Capture | Request Tracing | Run Tracing,Mixed,"Request and run tracing form the core capability, while evidence traceability and request detail capture are related but functionally distinct."
12,Chrome Email Integration | Email Analytics,Mixed,Email integration and email analytics are distinct capabilities despite sharing the email domain.
13,PDF Export | Content Export | Spreadsheet Export | Asset Export | CMS Export | CSV Export | Document Export | Document Import and Export | DOCX Export | Flipbook Export | Google Docs Export | HTML/CSS/JS Export | Print-Ready Export | Run History Export | Table Export | Watermark-Free Export,Good,
15,SEO Optimization | Content Optimization | Title Optimization | AI Content Optimization | AI-Readable Content Optimization | Alt Text Optimization | Automated Optimization | Fix Prioritization | Optimization Controls | SEO Content Optimization | Tag Optimization | Title Tag Optimization,Mixed,"Most tags concern SEO or content metadata optimization, but generic automation, optimization controls, and fix prioritization represent distinct capabilities."
16,Brand Insights | Business Insights | Company Insights | Historical Insights,Mixed,"Brand, business, and company insights form a related organizational analysis capability, but historical insights are not necessarily tied to that function."
22,Social Media Publishing | App Publishing | Automatic Publishing | Content Publishing | Multi-Platform Publishing | WordPress Publishing | API Publishing | App Store Publishing | Automated Publishing | Bulk Publishing | CMS Publishing | Cross-Platform Publishing | Direct Social Publishing | Domain Publishing | Form Publishing | Multi-Channel Publishing | One-Click Publishing | Post Publishing | Website Publishing,Mixed,"Most tags concern digital content publishing, but app, API, domain, and form publishing represent distinct functional scenarios."
23,Video Remixing | Content Remixing | Image Remixing,Good,
35,Caption Generation | Caption Addition | AI Captioning | Automated Captioning | Automatic Caption Generation | Automatic Captioning | CAPTCHA Solving | Caption Editing | Caption Recommendations | Caption Styling | Platform Caption Generation | Social Caption Generation | Video Captioning,Good,
36,API Integration | API Access | REST API | AI Model API Access | API Connection | API Data Collection | API Key Management | API Model Access | Custom API Key Integration | Production API Access | Real-Time API Access | Unified API Access,Good,
40,Auto-Prompting | Motion Prompting | Negative Prompting | Remarketing Activation | Voice Prompting,Good,
44,Model Routing | Call Routing | Adaptive Model Routing | Intelligent Model Routing | Intelligent Request Routing | Multi-Model AI Routing,Good,
47,Phone Support | Progress Support | Social Media Support | Stakeholder Profiling | Support Analytics | Support CRM | Support Ticketing,Mixed,"Most tags concern customer support operations, while progress support and stakeholder profiling represent distinct capabilities."
49,Landing Page Generation | Website Generation | Custom URL Creation | Custom Website Generation | Elementor Page Generation | Landing Page Building | Landing Page Creation | Product Page Generation | Web Application Generation,Good,
51,Code Export | Data Export | PPTX Export | SCORM Export | AI Prompt Export | EXR Export | Notion Export | PPT Export | Quiz Export | Translation Data Export | Workflow Export | xAPI Export,Good,
52,Text-to-Speech | Speech-to-Text Transcription | Speech-to-Text | Text to Speech | Text-to-Dialogue | Text-to-Speech Generation | Text-to-Speech Narration | Text-to-Voice | Voice-Matched Writing | Voice-to-Text Responses,Good,
57,Audio Export | Meeting Recording | Audio Recording | Call Recording | Meeting Recording and Transcription | Podcast Creation | Podcast Video Creation | WAV Download,Good,
63,Meaning Preservation | Aging Effects | Contract Management | Retention Analysis | Retention Management,Bad,"Only retention analysis and retention management share a capability, while the other tags describe unrelated functions."
71,Audit Logging | Workflow Logging | Workflow Monitoring,Good,
79,Video Ad Generation | Ad Creative Generation | Ad Performance Analysis | Ad Concept Generation | Ad Creative Production | Ad Generation | Ad Intelligence Analysis | Ad Performance Optimization | Ad Performance Pre-testing | Ad Template Browsing | Ad Tracking | Ad Variation Creation | Advertising Analysis | AI Ad Creation | Batch Ad Generation | Job Advertising Management | Static Ad Generation,Mixed,"The cluster mixes ad creative generation with ad performance analysis, optimization, tracking, template browsing, and job advertising management."
81,Background Removal | Background Customization | Background Replacement | Transparent Background Creation | Background Changer | Background Color Change | Background Editing | Background Extension | Background Generation | Background Localization | White Background Editing,Good,
83,Visual App Building | Visual Workflow Builder | Visual Workflow Building | Visual Workflow Chaining | Visual Workflow Design,Good,
87,Context Management | Context Integration | Context Matching | Context Memory | Context Preservation | Contextual Webpage Analysis | Persistent Context,Good,
98,Booking Management | Accommodation Recommendations | Appointment Booking | Calendar Booking | Itinerary Management | Visit Booking | Visit Rescheduling,Good,
101,Object Removal | Noise Reduction | Silence Removal | Artifact Removal | Background Noise Removal | Bad Take Removal | Echo Removal | Noise Cancellation | Noise Removal | Reverb Reduction | Room Echo Reduction,Good,
107,Geolocation | Location Customization,Mixed,"Geolocation determines a location, while location customization personalizes content or settings based on location."
110,Form Generation | Calculator Building | Contact Form Creation | CTA and Form Creation | Form Building | Form Handling | Form Integration,Good,
111,Diagram Generation | AI Diagram Generation | Diagram Creation | Flowchart Creation,Good,
112,Information Extraction | Structured Data Extraction | Data Extraction | Text Extraction | Automated Data Extraction | Business Data Extraction | Data Parsing | Email Extraction | Geo-Based Extraction | HTML Extraction | Instrument Extraction | Key Point Extraction | Key Term Extraction | Scheduled Extraction | Web Data Extraction,Good,
114,Prompt Chaining | Prompt Enhancement | Prompt Refinement | Prompt-Based Editing | AI Prompt Generation | Custom Prompt Presets | Project Prompt Exploration | Prompt Generation | Prompt Library | Prompt Monitoring | Prompt Playground | Prompt Suggestions | Prompt-Based Creation | Reusable Prompts,Good,
116,Lesson Plan Generation | Outline Generation | Course Generation | Course Outline Generation | Academic Style Suggestions | Curriculum Generation | Curriculum Mapping | Interactive Courses | Study Motivation,Mixed,"Most tags concern course, lesson, or curriculum creation, while academic style suggestions and study motivation are distinct capabilities."
119,AI Traffic Measurement | AI Traffic Reporting | Traffic Analysis | Traffic Distribution | Traffic Source Analysis | Traffic Tracking,Good,
125,Voice Messaging | Active Listening | Real-Time Voice Streaming | Share of Voice Measurement | Share Of Voice Tracking | Social Listening | Voice Calling | Voice Conversation | Voice Conversations | Voice Narration | Voice Question Answering | Voice Rehearsal,Mixed,"Most tags concern voice interaction or audio communication, while share-of-voice analytics and social listening serve marketing-monitoring functions."
135,Avatar Conversations | Conversational Avatar Deployment | Talking Photos,Good,
136,Cross-Document Synthesis | Document Automation | Document Collection | Document Creation | Document Upload | Interactive Document Creation,Mixed,"Document creation and synthesis form the largest capability, while document collection and upload are distinct document-management functions."
140,Payment Processing | Stripe Payment Integration | Bank Account Connection | Bill Capture | Bill Negotiation | Bill Payment | Billing Management | Client Billing | Stripe Billing,Good,
142,Aesthetic QR Code Generation | Communication Generation | Container Generation | Deck Generation | File Generation | Print Generation | Reference-Based Generation,Bad,"The tags share a generation verb but apply to functionally distinct outputs such as QR codes, communications, containers, decks, files, and print materials."
148,Case Study Personalization | Chat History Personalization | Dynamic Personalization | Email Content Personalization | Feed Personalization | Learning Personalization | Personalized Feeds | Personalized Itinerary Generation | Response Personalization | Track Personalization,Mixed,"The tags apply personalization to functionally distinct scenarios such as content, feeds, learning, travel itineraries, chat responses, and tracks."
150,Lead Qualification | Lead Capture | Lead Enrichment | Lead Generation | Lead Intelligence | Lead Prospecting | Lead Routing | Lead/Backing Separation,Good,
172,Website Hosting | App Hosting | Cloud Hosting | Hosting | Hosting Management,Good,
174,AI Fashion Models | Clothing Editing | Clothing Recognition | Ghost Mannequin Generation | Live T-Shirt Preview | Outfit Customization | Outfit Generation | Outfit Modification | Outfit Swapping,Good,
176,Access Control | Access Governance | CLI Access | Permission Management | Plugin Access | User Permission Management,Mixed,"Access control and permission management form the core capability, while CLI access and plugin access describe distinct interface or integration capabilities."
181,AI Model Integration | AI Assistant | AI Assistant Integration | AI Contract Drafting | AI Memory Import | AI Model Deployment | AI Product Import | AI Prompt Library | AI Response Automation | AI Tool Integration | In-Document AI Assistant | Learning Add-ons | No-Code AI Builder | Unified AI Model API,Mixed,"Most tags concern AI integration and application building, while several describe unrelated capabilities such as contract drafting, imports, prompt libraries, and learning add-ons."
183,Dialect Support | Pronunciation Control | Pronunciation Customization | Pronunciation Feedback | Pronunciation Guides,Good,
185,Domain Scraping | Dynamic Content Scraping | No-Code Scraping | Prebuilt Scrapers | Review Scraping | Web Scraping | Website Content Crawling,Good,
186,Distributed Inference | Escalation Rules | Policy Generation | Policy Inference | Policy Pre-checks,Mixed,"Policy generation, inference, and pre-checks form a coherent capability, while distributed inference and escalation rules serve different functions."
